MATCH UP,SEASON,DATE,TEAM,OPPONENT,HOME/AWAY,RESULT,MIN,PTS,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PlusMinus
"May 29, 2016 - WAS @ PHO",2016,05/29/2016,WAS,PHO,Away,L,19,8,2,5,40,0,1,0,4,5,80,0,4,4,3,0,0,1,2,-19
"Jun 01, 2016 - WAS vs. CHI",2016,06/01/2016,WAS,CHI,Home,L,17,5,2,5,40,1,2,50,0,0,0,0,1,1,1,0,0,1,0,-7
"Jun 03, 2016 - WAS @ CHI",2016,06/03/2016,WAS,CHI,Away,L,16,0,0,3,0,0,1,0,0,0,0,0,4,4,4,0,0,1,1,-11
"Jun 05, 2016 - WAS @ ATL",2016,06/05/2016,WAS,ATL,Away,W,13,3,1,4,25,1,1,100,0,0,0,0,2,2,3,0,0,0,2,3
"Jun 08, 2016 - WAS @ DAL",2016,06/08/2016,WAS,DAL,Away,W,25,8,2,4,50,2,2,100,2,2,100,0,3,3,3,2,0,2,3,13
"Jun 11, 2016 - WAS vs. MIN",2016,06/11/2016,WAS,MIN,Home,L,19,5,2,7,28.6,0,2,0,1,1,100,0,0,0,1,2,0,2,3,-10
"Jun 14, 2016 - WAS @ CON",2016,06/14/2016,WAS,CON,Away,W,36,7,2,7,28.6,1,5,20,2,2,100,0,6,6,6,1,0,1,3,8
"Jun 18, 2016 - WAS vs. ATL",2016,06/18/2016,WAS,ATL,Home,W,14,5,2,3,66.7,1,2,50,0,0,0,0,2,2,3,1,0,1,2,14
"Jun 22, 2016 - WAS vs. IND",2016,06/22/2016,WAS,IND,Home,W,21,7,1,2,50,0,0,0,5,6,83.3,0,6,6,2,2,0,1,1,11
"Jun 24, 2016 - WAS vs. PHO",2016,06/24/2016,WAS,PHO,Home,L,29,18,6,11,54.5,5,7,71.4,1,2,50,0,2,2,5,2,0,1,0,-6
"Jun 26, 2016 - WAS vs. MIN",2016,06/26/2016,WAS,MIN,Home,W,21,8,3,8,37.5,1,2,50,1,2,50,0,3,3,3,1,0,0,1,22
"Jun 29, 2016 - WAS vs. SAN",2016,06/29/2016,WAS,SAN,Home,W,21,11,4,7,57.1,3,3,100,0,0,0,0,3,3,3,0,0,3,0,15
"Jul 01, 2016 - WAS @ CHI",2016,07/01/2016,WAS,CHI,Away,L,34,3,1,3,33.3,1,3,33.3,0,0,0,0,4,4,4,0,0,1,3,-7
"Jul 06, 2016 - WAS @ SAN",2016,07/06/2016,WAS,SAN,Away,L,27,10,3,5,60,0,1,0,4,4,100,0,3,3,3,0,0,0,1,-6
"Jul 10, 2016 - WAS @ LAS",2016,07/10/2016,WAS,LAS,Away,L,25,6,2,3,66.7,2,3,66.7,0,0,0,0,4,4,3,1,0,2,3,-10
"Jul 13, 2016 - WAS @ PHO",2016,07/13/2016,WAS,PHO,Away,L,14,2,1,2,50,0,1,0,0,0,0,0,0,0,0,0,0,1,3,-18
"Jul 15, 2016 - WAS @ SEA",2016,07/15/2016,WAS,SEA,Away,L,26,0,0,4,0,0,1,0,0,0,0,0,1,1,2,0,0,1,2,-22
"Jul 20, 2016 - WAS vs. NYL",2016,07/20/2016,WAS,NYL,Home,L,24,6,1,5,20,0,1,0,4,5,80,0,1,1,6,1,0,2,2,-3
"Jul 22, 2016 - WAS vs. LAS",2016,07/22/2016,WAS,LAS,Home,L,28,5,2,5,40,1,4,25,0,0,0,0,4,4,3,1,0,3,3,-21
"Aug 27, 2016 - WAS @ IND",2016,08/27/2016,WAS,IND,Away,W,21,5,2,2,100,1,1,100,0,0,0,0,3,3,5,1,1,0,0,24
"Aug 28, 2016 - WAS vs. SAN",2016,08/28/2016,WAS,SAN,Home,L,25,2,1,4,25,0,2,0,0,0,0,0,1,1,5,1,0,2,2,-1
